Question_id,Title,Acceptance_rate,Difficulty,TopicTags,Link
401,Binary Watch,54.8%,Easy,"Backtracking, Bit Manipulation",https://leetcode.com/problems/binary-watch/description
402,Remove K Digits,33.7%,Medium,"String, Stack, Greedy, Monotonic Stack",https://leetcode.com/problems/remove-k-digits/description
403,Frog Jump,46.1%,Hard,"Array, Dynamic Programming",https://leetcode.com/problems/frog-jump/description
404,Sum of Left Leaves,60.8%,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/sum-of-left-leaves/description
406,Queue Reconstruction by Height,73.6%,Medium,"Array, Binary Indexed Tree, Segment Tree, Sorting",https://leetcode.com/problems/queue-reconstruction-by-height/description
407,Trapping Rain Water II,48.1%,Hard,"Array, Breadth-First Search, Heap (Priority Queue), Matrix",https://leetcode.com/problems/trapping-rain-water-ii/description
408,Valid Word Abbreviation,36.0%,Easy,"Two Pointers, String",https://leetcode.com/problems/valid-word-abbreviation/description
409,Longest Palindrome,55.3%,Easy,"Hash Table, String, Greedy",https://leetcode.com/problems/longest-palindrome/description
410,Split Array Largest Sum,55.8%,Hard,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum",https://leetcode.com/problems/split-array-largest-sum/description
411,Minimum Unique Word Abbreviation,39.8%,Hard,"String, Backtracking, Bit Manipulation",https://leetcode.com/problems/minimum-unique-word-abbreviation/description
412,Fizz Buzz,72.5%,Easy,"Math, String, Simulation",https://leetcode.com/problems/fizz-buzz/description
413,Arithmetic Slices,65.0%,Medium,"Array, Dynamic Programming",https://leetcode.com/problems/arithmetic-slices/description
414,Third Maximum Number,35.2%,Easy,"Array, Sorting",https://leetcode.com/problems/third-maximum-number/description
415,Add Strings,51.7%,Easy,"Math, String, Simulation",https://leetcode.com/problems/add-strings/description
416,Partition Equal Subset Sum,46.5%,Medium,"Array, Dynamic Programming",https://leetcode.com/problems/partition-equal-subset-sum/description
417,Pacific Atlantic Water Flow,55.6%,Medium,"Array, Depth-First Search, Breadth-First Search, Matrix",https://leetcode.com/problems/pacific-atlantic-water-flow/description
418,Sentence Screen Fitting,36.2%,Medium,"Array, String, Dynamic Programming",https://leetcode.com/problems/sentence-screen-fitting/description
419,Battleships in a Board,75.5%,Medium,"Array, Depth-First Search, Matrix",https://leetcode.com/problems/battleships-in-a-board/description
420,Strong Password Checker,13.8%,Hard,"String, Greedy, Heap (Priority Queue)",https://leetcode.com/problems/strong-password-checker/description
421,Maximum XOR of Two Numbers in an Array,53.3%,Medium,"Array, Hash Table, Bit Manipulation, Trie",https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/description
422,Valid Word Square,41.3%,Easy,"Array, Matrix",https://leetcode.com/problems/valid-word-square/description
424,Longest Repeating Character Replacement,54.5%,Medium,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-repeating-character-replacement/description
425,Word Squares,53.4%,Hard,"Array, String, Backtracking, Trie",https://leetcode.com/problems/word-squares/description
435,Non-overlapping Intervals,53.6%,Medium,"Array, Dynamic Programming, Greedy, Sorting",https://leetcode.com/problems/non-overlapping-intervals/description
438,Find All Anagrams in a String,51.1%,Medium,"Hash Table, String, Sliding Window",https://leetcode.com/problems/find-all-anagrams-in-a-string/description
441,Arranging Coins,46.7%,Easy,"Math, Binary Search",https://leetcode.com/problems/arranging-coins/description
442,Find All Duplicates in an Array,75.8%,Medium,"Array, Hash Table",https://leetcode.com/problems/find-all-duplicates-in-an-array/description
443,String Compression,55.1%,Medium,"Two Pointers, String",https://leetcode.com/problems/string-compression/description
444,Sequence Reconstruction,28.4%,Medium,"Array, Graph, Topological Sort",https://leetcode.com/problems/sequence-reconstruction/description
446,Arithmetic Slices II - Subsequence,54.6%,Hard,"Array, Dynamic Programming",https://leetcode.com/problems/arithmetic-slices-ii-subsequence/description
447,Number of Boomerangs,55.6%,Medium,"Array, Hash Table, Math",https://leetcode.com/problems/number-of-boomerangs/description
448,Find All Numbers Disappeared in an Array,61.1%,Easy,"Array, Hash Table",https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array/description
451,Sort Characters By Frequency,72.7%,Medium,"Hash Table, String, Sorting, Heap (Priority Queue), Bucket Sort, Counting",https://leetcode.com/problems/sort-characters-by-frequency/description
454,4Sum II,57.3%,Medium,"Array, Hash Table",https://leetcode.com/problems/4sum-ii/description
455,Assign Cookies,52.8%,Easy,"Array, Two Pointers, Greedy, Sorting",https://leetcode.com/problems/assign-cookies/description
458,Poor Pigs,59.6%,Hard,"Math, Dynamic Programming, Combinatorics",https://leetcode.com/problems/poor-pigs/description
459,Repeated Substring Pattern,46.2%,Easy,"String, String Matching",https://leetcode.com/problems/repeated-substring-pattern/description
460,LFU Cache,44.5%,Hard,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lfu-cache/description
463,Island Perimeter,72.9%,Easy,"Array, Depth-First Search, Breadth-First Search, Matrix",https://leetcode.com/problems/island-perimeter/description
465,Optimal Account Balancing,49.6%,Hard,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",https://leetcode.com/problems/optimal-account-balancing/description
469,Convex Polygon,39.5%,Medium,"Array, Math, Geometry",https://leetcode.com/problems/convex-polygon/description
471,Encode String with Shortest Length,50.4%,Hard,"String, Dynamic Programming",https://leetcode.com/problems/encode-string-with-shortest-length/description
474,Ones and Zeroes,47.8%,Medium,"Array, String, Dynamic Programming",https://leetcode.com/problems/ones-and-zeroes/description
475,Heaters,38.2%,Medium,"Array, Two Pointers, Binary Search, Sorting",https://leetcode.com/problems/heaters/description
476,Number Complement,67.7%,Easy,Bit Manipulation,https://leetcode.com/problems/number-complement/description
480,Sliding Window Median,39.0%,Hard,"Array, Hash Table, Sliding Window, Heap (Priority Queue)",https://leetcode.com/problems/sliding-window-median/description
481,Magical String,51.4%,Medium,"Two Pointers, String",https://leetcode.com/problems/magical-string/description
482,License Key Formatting,43.9%,Easy,String,https://leetcode.com/problems/license-key-formatting/description
483,Smallest Good Base,41.0%,Hard,"Math, Binary Search",https://leetcode.com/problems/smallest-good-base/description
484,Find Permutation,66.9%,Medium,"Array, String, Stack, Greedy",https://leetcode.com/problems/find-permutation/description
485,Max Consecutive Ones,59.7%,Easy,Array,https://leetcode.com/problems/max-consecutive-ones/description
486,Predict the Winner,55.4%,Medium,"Array, Math, Dynamic Programming, Recursion, Game Theory",https://leetcode.com/problems/predict-the-winner/description
487,Max Consecutive Ones II,50.4%,Medium,"Array, Dynamic Programming, Sliding Window",https://leetcode.com/problems/max-consecutive-ones-ii/description
490,The Maze,58.2%,Medium,"Array, Depth-First Search, Breadth-First Search, Matrix",https://leetcode.com/problems/the-maze/description
493,Reverse Pairs,30.8%,Hard,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set",https://leetcode.com/problems/reverse-pairs/description
494,Target Sum,47.1%,Medium,"Array, Dynamic Programming, Backtracking",https://leetcode.com/problems/target-sum/description
495,Teemo Attacking,56.6%,Easy,"Array, Simulation",https://leetcode.com/problems/teemo-attacking/description
496,Next Greater Element I,72.6%,Easy,"Array, Hash Table, Stack, Monotonic Stack",https://leetcode.com/problems/next-greater-element-i/description
498,Diagonal Traverse,60.6%,Medium,"Array, Matrix, Simulation",https://leetcode.com/problems/diagonal-traverse/description
501,Find Mode in Binary Search Tree,56.3%,Easy,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",https://leetcode.com/problems/find-mode-in-binary-search-tree/description
502,IPO,53.2%,Hard,"Array, Greedy, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/ipo/description
503,Next Greater Element II,64.2%,Medium,"Array, Stack, Monotonic Stack",https://leetcode.com/problems/next-greater-element-ii/description
505,The Maze II,53.5%,Medium,"Array, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Matrix, Shortest Path",https://leetcode.com/problems/the-maze-ii/description
506,Relative Ranks,71.8%,Easy,"Array, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/relative-ranks/description
510,Count Subarrays With More Ones Than Zeros,52.1%,Medium,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set",https://leetcode.com/problems/count-subarrays-with-more-ones-than-zeros/description
511,All Paths from Source Lead to Destination,37.6%,Medium,"Graph, Topological Sort",https://leetcode.com/problems/all-paths-from-source-lead-to-destination/description
514,Freedom Trail,59.0%,Hard,"String, Dynamic Programming, Depth-First Search, Breadth-First Search",https://leetcode.com/problems/freedom-trail/description
515,Find Largest Value in Each Tree Row,65.7%,Medium,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/find-largest-value-in-each-tree-row/description
516,Longest Palindromic Subsequence,62.9%,Medium,"String, Dynamic Programming",https://leetcode.com/problems/longest-palindromic-subsequence/description
518,Coin Change II,64.3%,Medium,"Array, Dynamic Programming",https://leetcode.com/problems/coin-change-ii/description
520,Detect Capital,56.4%,Easy,String,https://leetcode.com/problems/detect-capital/description
521,Longest Uncommon Subsequence I,60.8%,Easy,String,https://leetcode.com/problems/longest-uncommon-subsequence-i/description
522,Longest Uncommon Subsequence II,41.8%,Medium,"Array, Hash Table, Two Pointers, String, Sorting",https://leetcode.com/problems/longest-uncommon-subsequence-ii/description
523,Continuous Subarray Sum,30.3%,Medium,"Array, Hash Table, Math, Prefix Sum",https://leetcode.com/problems/continuous-subarray-sum/description
524,Longest Word in Dictionary through Deleting,51.3%,Medium,"Array, Two Pointers, String, Sorting",https://leetcode.com/problems/longest-word-in-dictionary-through-deleting/description
525,Contiguous Array,49.0%,Medium,"Array, Hash Table, Prefix Sum",https://leetcode.com/problems/contiguous-array/description
526,Beautiful Arrangement,64.3%,Medium,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",https://leetcode.com/problems/beautiful-arrangement/description
527,Word Abbreviation,61.1%,Hard,"Array, String, Greedy, Trie, Sorting",https://leetcode.com/problems/word-abbreviation/description
530,Minimum Absolute Difference in BST,58.4%,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Search Tree, Binary Tree",https://leetcode.com/problems/minimum-absolute-difference-in-bst/description
531,Lonely Pixel I,62.3%,Medium,"Array, Hash Table, Matrix",https://leetcode.com/problems/lonely-pixel-i/description
532,K-diff Pairs in an Array,43.1%,Medium,"Array, Hash Table, Two Pointers, Binary Search, Sorting",https://leetcode.com/problems/k-diff-pairs-in-an-array/description
533,Lonely Pixel II,48.6%,Medium,"Array, Hash Table, Matrix",https://leetcode.com/problems/lonely-pixel-ii/description
535,Encode and Decode TinyURL,86.4%,Medium,"Hash Table, String, Design, Hash Function",https://leetcode.com/problems/encode-and-decode-tinyurl/description
539,Minimum Time Difference,56.9%,Medium,"Array, Math, String, Sorting",https://leetcode.com/problems/minimum-time-difference/description
540,Single Element in a Sorted Array,59.2%,Medium,"Array, Binary Search",https://leetcode.com/problems/single-element-in-a-sorted-array/description
541,Reverse String II,50.9%,Easy,"Two Pointers, String",https://leetcode.com/problems/reverse-string-ii/description
542,01 Matrix,48.9%,Medium,"Array, Dynamic Programming, Breadth-First Search, Matrix",https://leetcode.com/problems/01-matrix/description
543,Diameter of Binary Tree,60.9%,Easy,"Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/diameter-of-binary-tree/description
544,Output Contest Matches,77.2%,Medium,"String, Recursion, Simulation",https://leetcode.com/problems/output-contest-matches/description
545,Boundary of Binary Tree,45.6%,Medium,"Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/boundary-of-binary-tree/description
547,Number of Provinces,66.6%,Medium,"Depth-First Search, Breadth-First Search, Union Find, Graph",https://leetcode.com/problems/number-of-provinces/description
549,Binary Tree Longest Consecutive Sequence II,49.5%,Medium,"Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-longest-consecutive-sequence-ii/description
550,Shortest Path to Get Food,55.0%,Medium,"Array, Breadth-First Search, Matrix",https://leetcode.com/problems/shortest-path-to-get-food/description
551,Student Attendance Record I,49.2%,Easy,String,https://leetcode.com/problems/student-attendance-record-i/description
552,Student Attendance Record II,55.1%,Hard,Dynamic Programming,https://leetcode.com/problems/student-attendance-record-ii/description
554,Brick Wall,55.1%,Medium,"Array, Hash Table",https://leetcode.com/problems/brick-wall/description
556,Next Greater Element III,34.1%,Medium,"Math, Two Pointers, String",https://leetcode.com/problems/next-greater-element-iii/description
560,Subarray Sum Equals K,43.8%,Medium,"Array, Hash Table, Prefix Sum",https://leetcode.com/problems/subarray-sum-equals-k/description
562,Longest Line of Consecutive One in Matrix,50.4%,Medium,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/longest-line-of-consecutive-one-in-matrix/description
564,Find the Closest Palindrome,22.5%,Hard,"Math, String",https://leetcode.com/problems/find-the-closest-palindrome/description
567,Permutation in String,44.6%,Medium,"Hash Table, Two Pointers, String, Sliding Window",https://leetcode.com/problems/permutation-in-string/description
568,Maximum Vacation Days,45.8%,Hard,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/maximum-vacation-days/description
569,Median Employee Salary,66.0%,Hard,Database,https://leetcode.com/problems/median-employee-salary/description
570,Managers with at Least 5 Direct Reports,49.8%,Medium,Database,https://leetcode.com/problems/managers-with-at-least-5-direct-reports/description
572,Subtree of Another Tree,48.2%,Easy,"Tree, Depth-First Search, String Matching, Binary Tree, Hash Function",https://leetcode.com/problems/subtree-of-another-tree/description
577,Employee Bonus,75.6%,Easy,Database,https://leetcode.com/problems/employee-bonus/description
581,Shortest Unsorted Continuous Subarray,36.9%,Medium,"Array, Two Pointers, Stack, Greedy, Sorting, Monotonic Stack",https://leetcode.com/problems/shortest-unsorted-continuous-subarray/description
583,Delete Operation for Two Strings,62.1%,Medium,"String, Dynamic Programming",https://leetcode.com/problems/delete-operation-for-two-strings/description
584,Find Customer Referee,70.2%,Easy,Database,https://leetcode.com/problems/find-customer-referee/description
587,Erect the Fence,51.9%,Hard,"Array, Math, Geometry",https://leetcode.com/problems/erect-the-fence/description
588,Design In-Memory File System,48.1%,Hard,"Hash Table, String, Design, Trie",https://leetcode.com/problems/design-in-memory-file-system/description
593,Valid Square,44.1%,Medium,"Math, Geometry",https://leetcode.com/problems/valid-square/description
595,Big Countries,68.1%,Easy,Database,https://leetcode.com/problems/big-countries/description
604,Design Compressed String Iterator,39.8%,Easy,"Array, String, Design, Iterator",https://leetcode.com/problems/design-compressed-string-iterator/description
605,Can Place Flowers,29.0%,Easy,"Array, Greedy",https://leetcode.com/problems/can-place-flowers/description
609,Find Duplicate File in System,67.7%,Medium,"Array, Hash Table, String",https://leetcode.com/problems/find-duplicate-file-in-system/description
616,Add Bold Tag in String,49.9%,Medium,"Array, Hash Table, String, Trie, String Matching",https://leetcode.com/problems/add-bold-tag-in-string/description
621,Task Scheduler,60.1%,Medium,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting",https://leetcode.com/problems/task-scheduler/description
623,Add One Row to Tree,64.0%,Medium,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/add-one-row-to-tree/description
629,K Inverse Pairs Array,49.6%,Hard,Dynamic Programming,https://leetcode.com/problems/k-inverse-pairs-array/description
633,Sum of Square Numbers,36.6%,Medium,"Math, Two Pointers, Binary Search",https://leetcode.com/problems/sum-of-square-numbers/description
636,Exclusive Time of Functions,62.2%,Medium,"Array, Stack",https://leetcode.com/problems/exclusive-time-of-functions/description
638,Shopping Offers,52.0%,Medium,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask",https://leetcode.com/problems/shopping-offers/description
642,Design Search Autocomplete System,49.0%,Hard,"String, Design, Trie, Sorting, Heap (Priority Queue), Data Stream",https://leetcode.com/problems/design-search-autocomplete-system/description
643,Maximum Average Subarray I,43.5%,Easy,"Array, Sliding Window",https://leetcode.com/problems/maximum-average-subarray-i/description
644,Maximum Average Subarray II,36.8%,Hard,"Array, Binary Search, Prefix Sum",https://leetcode.com/problems/maximum-average-subarray-ii/description
645,Set Mismatch,44.5%,Easy,"Array, Hash Table, Bit Manipulation, Sorting",https://leetcode.com/problems/set-mismatch/description
647,Palindromic Substrings,70.4%,Medium,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/palindromic-substrings/description
648,Replace Words,68.0%,Medium,"Array, Hash Table, String, Trie",https://leetcode.com/problems/replace-words/description
650,2 Keys Keyboard,54.2%,Medium,"Math, Dynamic Programming",https://leetcode.com/problems/2-keys-keyboard/description
651,4 Keys Keyboard,55.8%,Medium,"Math, Dynamic Programming",https://leetcode.com/problems/4-keys-keyboard/description
652,Find Duplicate Subtrees,59.5%,Medium,"Hash Table, Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/find-duplicate-subtrees/description
653,Two Sum IV - Input is a BST,61.4%,Easy,"Hash Table, Two Pointers, Tree, Depth-First Search, Breadth-First Search, Binary Search Tree, Binary Tree",https://leetcode.com/problems/two-sum-iv-input-is-a-bst/description
655,Print Binary Tree,64.2%,Medium,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/print-binary-tree/description
656,Coin Path,32.1%,Hard,"Array, Dynamic Programming",https://leetcode.com/problems/coin-path/description
657,Robot Return to Origin,75.8%,Easy,"String, Simulation",https://leetcode.com/problems/robot-return-to-origin/description
658,Find K Closest Elements,47.6%,Medium,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/find-k-closest-elements/description
659,Split Array into Consecutive Subsequences,51.1%,Medium,"Array, Hash Table, Greedy, Heap (Priority Queue)",https://leetcode.com/problems/split-array-into-consecutive-subsequences/description
662,Maximum Width of Binary Tree,43.0%,Medium,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/maximum-width-of-binary-tree/description
665,Non-decreasing Array,24.8%,Medium,Array,https://leetcode.com/problems/non-decreasing-array/description
667,Beautiful Arrangement II,60.2%,Medium,"Array, Math",https://leetcode.com/problems/beautiful-arrangement-ii/description
668,Kth Smallest Number in Multiplication Table,51.8%,Hard,"Math, Binary Search",https://leetcode.com/problems/kth-smallest-number-in-multiplication-table/description
670,Maximum Swap,48.9%,Medium,"Math, Greedy",https://leetcode.com/problems/maximum-swap/description
676,Implement Magic Dictionary,57.6%,Medium,"Hash Table, String, Depth-First Search, Design, Trie",https://leetcode.com/problems/implement-magic-dictionary/description
678,Valid Parenthesis String,38.1%,Medium,"String, Dynamic Programming, Stack, Greedy",https://leetcode.com/problems/valid-parenthesis-string/description
679,24 Game,49.4%,Hard,"Array, Math, Backtracking",https://leetcode.com/problems/24-game/description
680,Valid Palindrome II,41.0%,Easy,"Two Pointers, String, Greedy",https://leetcode.com/problems/valid-palindrome-ii/description
681,Next Closest Time,46.7%,Medium,"Hash Table, String, Backtracking, Enumeration",https://leetcode.com/problems/next-closest-time/description
683,K Empty Slots,37.1%,Hard,"Array, Binary Indexed Tree, Segment Tree, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue",https://leetcode.com/problems/k-empty-slots/description
684,Redundant Connection,63.1%,Medium,"Depth-First Search, Breadth-First Search, Union Find, Graph",https://leetcode.com/problems/redundant-connection/description
685,Redundant Connection II,34.5%,Hard,"Depth-First Search, Breadth-First Search, Union Find, Graph",https://leetcode.com/problems/redundant-connection-ii/description
686,Repeated String Match,35.2%,Medium,"String, String Matching",https://leetcode.com/problems/repeated-string-match/description
687,Longest Univalue Path,41.7%,Medium,"Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/longest-univalue-path/description
689,Maximum Sum of 3 Non-Overlapping Subarrays,50.2%,Hard,"Array, Dynamic Programming",https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays/description
690,Employee Importance,67.2%,Medium,"Array, Hash Table, Tree, Depth-First Search, Breadth-First Search",https://leetcode.com/problems/employee-importance/description
691,Stickers to Spell Word,48.9%,Hard,"Array, String, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",https://leetcode.com/problems/stickers-to-spell-word/description
692,Top K Frequent Words,58.2%,Medium,"Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting",https://leetcode.com/problems/top-k-frequent-words/description
695,Max Area of Island,72.3%,Medium,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/max-area-of-island/description
696,Count Binary Substrings,65.7%,Easy,"Two Pointers, String",https://leetcode.com/problems/count-binary-substrings/description
697,Degree of an Array,56.6%,Easy,"Array, Hash Table",https://leetcode.com/problems/degree-of-an-array/description
713,Subarray Product Less Than K,51.6%,Medium,"Array, Sliding Window",https://leetcode.com/problems/subarray-product-less-than-k/description
715,Range Module,44.0%,Hard,"Design, Segment Tree, Ordered Set",https://leetcode.com/problems/range-module/description
718,Maximum Length of Repeated Subarray,50.9%,Medium,"Array, Binary Search, Dynamic Programming, Sliding Window, Rolling Hash, Hash Function",https://leetcode.com/problems/maximum-length-of-repeated-subarray/description
719,Find K-th Smallest Pair Distance,38.3%,Hard,"Array, Two Pointers, Binary Search, Sorting",https://leetcode.com/problems/find-k-th-smallest-pair-distance/description
721,Accounts Merge,57.5%,Medium,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting",https://leetcode.com/problems/accounts-merge/description
724,Find Pivot Index,58.1%,Easy,"Array, Prefix Sum",https://leetcode.com/problems/find-pivot-index/description
726,Number of Atoms,53.1%,Hard,"Hash Table, String, Stack, Sorting",https://leetcode.com/problems/number-of-atoms/description
727,Minimum Window Subsequence,43.5%,Hard,"String, Dynamic Programming, Sliding Window",https://leetcode.com/problems/minimum-window-subsequence/description
729,My Calendar I,56.6%,Medium,"Array, Binary Search, Design, Segment Tree, Ordered Set",https://leetcode.com/problems/my-calendar-i/description
731,My Calendar II,55.6%,Medium,"Array, Binary Search, Design, Segment Tree, Prefix Sum, Ordered Set",https://leetcode.com/problems/my-calendar-ii/description
732,My Calendar III,71.7%,Hard,"Binary Search, Design, Segment Tree, Prefix Sum, Ordered Set",https://leetcode.com/problems/my-calendar-iii/description
733,Flood Fill,64.3%,Easy,"Array, Depth-First Search, Breadth-First Search, Matrix",https://leetcode.com/problems/flood-fill/description
734,Sentence Similarity,44.4%,Easy,"Array, Hash Table, String",https://leetcode.com/problems/sentence-similarity/description
735,Asteroid Collision,44.5%,Medium,"Array, Stack, Simulation",https://leetcode.com/problems/asteroid-collision/description
737,Sentence Similarity II,50.1%,Medium,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find",https://leetcode.com/problems/sentence-similarity-ii/description
739,Daily Temperatures,66.1%,Medium,"Array, Stack, Monotonic Stack",https://leetcode.com/problems/daily-temperatures/description
740,Delete and Earn,56.5%,Medium,"Array, Hash Table, Dynamic Programming",https://leetcode.com/problems/delete-and-earn/description
741,Cherry Pickup,37.0%,Hard,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/cherry-pickup/description
744,Network Delay Time,54.3%,Medium,"Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path",https://leetcode.com/problems/network-delay-time/description
746,Prefix and Suffix Search,41.1%,Hard,"Array, Hash Table, String, Design, Trie",https://leetcode.com/problems/prefix-and-suffix-search/description
747,Min Cost Climbing Stairs,65.9%,Easy,"Array, Dynamic Programming",https://leetcode.com/problems/min-cost-climbing-stairs/description
748,Largest Number At Least Twice of Others,49.1%,Easy,"Array, Sorting",https://leetcode.com/problems/largest-number-at-least-twice-of-others/description
749,Shortest Completing Word,60.2%,Easy,"Array, Hash Table, String",https://leetcode.com/problems/shortest-completing-word/description
753,Open the Lock,60.3%,Medium,"Array, Hash Table, String, Breadth-First Search",https://leetcode.com/problems/open-the-lock/description
754,Cracking the Safe,56.9%,Hard,"Depth-First Search, Graph, Eulerian Circuit",https://leetcode.com/problems/cracking-the-safe/description
757,Pyramid Transition Matrix,52.9%,Medium,"Bit Manipulation, Depth-First Search, Breadth-First Search",https://leetcode.com/problems/pyramid-transition-matrix/description
760,Bold Words in String,51.5%,Medium,"Array, Hash Table, String, Trie, String Matching",https://leetcode.com/problems/bold-words-in-string/description
761,Employee Free Time,72.2%,Hard,"Array, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/employee-free-time/description
762,Find Anagram Mappings,83.7%,Easy,"Array, Hash Table",https://leetcode.com/problems/find-anagram-mappings/description
764,N-ary Tree Level Order Traversal,70.9%,Medium,"Tree, Breadth-First Search",https://leetcode.com/problems/n-ary-tree-level-order-traversal/description
765,Serialize and Deserialize N-ary Tree,67.4%,Hard,"String, Tree, Depth-First Search, Breadth-First Search",https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree/description
770,Couples Holding Hands,57.5%,Hard,"Greedy, Depth-First Search, Breadth-First Search, Union Find, Graph",https://leetcode.com/problems/couples-holding-hands/description
772,Construct Quad Tree,75.7%,Medium,"Array, Divide and Conquer, Tree, Matrix",https://leetcode.com/problems/construct-quad-tree/description
775,N-ary Tree Preorder Traversal,75.6%,Easy,"Stack, Tree, Depth-First Search",https://leetcode.com/problems/n-ary-tree-preorder-traversal/description
777,Toeplitz Matrix,69.1%,Easy,"Array, Matrix",https://leetcode.com/problems/toeplitz-matrix/description
778,Reorganize String,54.8%,Medium,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting",https://leetcode.com/problems/reorganize-string/description
779,Max Chunks To Make Sorted II,53.3%,Hard,"Array, Stack, Greedy, Sorting, Monotonic Stack",https://leetcode.com/problems/max-chunks-to-make-sorted-ii/description
780,Max Chunks To Make Sorted,58.5%,Medium,"Array, Stack, Greedy, Sorting, Monotonic Stack",https://leetcode.com/problems/max-chunks-to-make-sorted/description
782,Jewels and Stones,88.7%,Easy,"Hash Table, String",https://leetcode.com/problems/jewels-and-stones/description
783,Search in a Binary Search Tree,80.1%,Easy,"Tree, Binary Search Tree, Binary Tree",https://leetcode.com/problems/search-in-a-binary-search-tree/description
784,Insert into a Binary Search Tree,73.7%,Medium,"Tree, Binary Search Tree, Binary Tree",https://leetcode.com/problems/insert-into-a-binary-search-tree/description
785,Basic Calculator III,50.9%,Hard,"Math, String, Stack, Recursion",https://leetcode.com/problems/basic-calculator-iii/description
786,Search in a Sorted Array of Unknown Size,72.2%,Medium,"Array, Binary Search, Interactive",https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size/description
788,Minimize Max Distance to Gas Station,52.4%,Hard,"Array, Binary Search",https://leetcode.com/problems/minimize-max-distance-to-gas-station/description
791,Split BST,82.7%,Medium,"Tree, Binary Search Tree, Recursion, Binary Tree",https://leetcode.com/problems/split-bst/description
792,Binary Search,57.9%,Easy,"Array, Binary Search",https://leetcode.com/problems/binary-search/description
793,Swap Adjacent in LR String,36.8%,Medium,"Two Pointers, String",https://leetcode.com/problems/swap-adjacent-in-lr-string/description
794,Swim in Rising Water,61.1%,Hard,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix",https://leetcode.com/problems/swim-in-rising-water/description
795,K-th Symbol in Grammar,46.6%,Medium,"Math, Bit Manipulation, Recursion",https://leetcode.com/problems/k-th-symbol-in-grammar/description
796,Reaching Points,33.3%,Hard,Math,https://leetcode.com/problems/reaching-points/description
798,Transform to Chessboard,50.9%,Hard,"Array, Math, Bit Manipulation, Matrix",https://leetcode.com/problems/transform-to-chessboard/description
799,Minimum Distance Between BST Nodes,59.6%,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Search Tree, Binary Tree",https://leetcode.com/problems/minimum-distance-between-bst-nodes/description
801,Is Graph Bipartite?,56.0%,Medium,"Depth-First Search, Breadth-First Search, Union Find, Graph",https://leetcode.com/problems/is-graph-bipartite/description
